id,source,archive_path,flow_no,flow,seq,kind,category,relevance,duplicate_of,annotated,sha256_prefix
AR-01-001,Auto.ru,auto.ru-screens/01-home-feed/01-home-feed_1.jpg,01,home-feed,1,image,home-discovery,release-core,,yes,2bcb02938689
AR-01-002,Auto.ru,auto.ru-screens/01-home-feed/01-home-feed_2.jpg,01,home-feed,2,image,home-discovery,release-core,,yes,13c74b51a303
AR-02-001,Auto.ru,auto.ru-screens/02-search-cars/02-search-cars_1.jpg,02,search-cars,1,image,brand-model-filters,release-core,AR-01-001,yes,2bcb02938689
AR-02-002,Auto.ru,auto.ru-screens/02-search-cars/02-search-cars_2.jpg,02,search-cars,2,image,brand-model-filters,release-core,,yes,d03483f61f04
AR-02-003,Auto.ru,auto.ru-screens/02-search-cars/02-search-cars_3.jpg,02,search-cars,3,image,brand-model-filters,release-core,,yes,6d746f6f20b7
AR-02-004,Auto.ru,auto.ru-screens/02-search-cars/02-search-cars_4.jpg,02,search-cars,4,image,brand-model-filters,release-core,,yes,452e00049b7b
AR-02-005,Auto.ru,auto.ru-screens/02-search-cars/02-search-cars_5.jpg,02,search-cars,5,image,brand-model-filters,release-core,,yes,4d0fddf26e18
AR-02-006,Auto.ru,auto.ru-screens/02-search-cars/02-search-cars_6.jpg,02,search-cars,6,image,brand-model-filters,release-core,,yes,ac1bb36c30fb
AR-03-001,Auto.ru,auto.ru-screens/03-search-moto/03-search-moto_1.jpg,03,search-moto,1,image,other-verticals,reference-only,AR-01-001,,2bcb02938689
AR-03-002,Auto.ru,auto.ru-screens/03-search-moto/03-search-moto_2.jpg,03,search-moto,2,image,other-verticals,reference-only,,,96081707e54f
AR-03-003,Auto.ru,auto.ru-screens/03-search-moto/03-search-moto_3.jpg,03,search-moto,3,image,other-verticals,reference-only,,,05d713a35c09
AR-03-004,Auto.ru,auto.ru-screens/03-search-moto/03-search-moto_4.jpg,03,search-moto,4,image,other-verticals,reference-only,,,ab2e8bb7f02f
AR-04-001,Auto.ru,auto.ru-screens/04-search-commercial/04-search-commercial_1.jpg,04,search-commercial,1,image,other-verticals,reference-only,AR-01-001,,2bcb02938689
AR-04-002,Auto.ru,auto.ru-screens/04-search-commercial/04-search-commercial_2.jpg,04,search-commercial,2,image,other-verticals,reference-only,,,d70e79315482
AR-04-003,Auto.ru,auto.ru-screens/04-search-commercial/04-search-commercial_3.jpg,04,search-commercial,3,image,other-verticals,reference-only,,,368894dc2e2b
AR-04-004,Auto.ru,auto.ru-screens/04-search-commercial/04-search-commercial_4.jpg,04,search-commercial,4,image,other-verticals,reference-only,,,86f45debd7e7
AR-04-005,Auto.ru,auto.ru-screens/04-search-commercial/04-search-commercial_5.jpg,04,search-commercial,5,image,other-verticals,reference-only,,,4e63e65c8d02
AR-05-001,Auto.ru,auto.ru-screens/05-filter-sort/05-filter-sort_1.jpg,05,filter-sort,1,image,results-detail,release-core,,yes,3c50077d0ce0
AR-05-002,Auto.ru,auto.ru-screens/05-filter-sort/05-filter-sort_2.jpg,05,filter-sort,2,image,results-detail,release-core,,yes,b3a782fa443c
AR-05-003,Auto.ru,auto.ru-screens/05-filter-sort/05-filter-sort_3.jpg,05,filter-sort,3,image,results-detail,release-core,,yes,c3b939987cb6
AR-05-004,Auto.ru,auto.ru-screens/05-filter-sort/05-filter-sort_4.jpg,05,filter-sort,4,image,results-detail,release-core,,yes,3e7c2084c827
AR-05-005,Auto.ru,auto.ru-screens/05-filter-sort/05-filter-sort_5.jpg,05,filter-sort,5,image,results-detail,release-core,,yes,fe592d425081
AR-05-006,Auto.ru,auto.ru-screens/05-filter-sort/05-filter-sort_6.jpg,05,filter-sort,6,image,results-detail,release-core,,yes,2cccae43d31f
AR-05-007,Auto.ru,auto.ru-screens/05-filter-sort/05-filter-sort_7.jpg,05,filter-sort,7,image,results-detail,release-core,,yes,393722df63e6
AR-06-002,Auto.ru,auto.ru-screens/06-search-params/06-search-params_2.jpg,06,search-params,2,image,brand-model-filters,release-core,AR-01-001,yes,2bcb02938689
AR-06-003,Auto.ru,auto.ru-screens/06-search-params/06-search-params_3.jpg,06,search-params,3,image,brand-model-filters,release-core,,yes,180ba31332f5
AR-06-004,Auto.ru,auto.ru-screens/06-search-params/06-search-params_4.jpg,06,search-params,4,image,brand-model-filters,release-core,,yes,a6d6e0ef63ea
AR-06-005,Auto.ru,auto.ru-screens/06-search-params/06-search-params_5.jpg,06,search-params,5,image,brand-model-filters,release-core,,yes,1277a8e020b2
